,train,val
0,TCGA-3Z-A93Z,TCGA-A3-3308
1,TCGA-6D-AA2E,TCGA-A3-3311
2,TCGA-AK-3426,TCGA-A3-3313
3,TCGA-AK-3427,TCGA-A3-3316
4,TCGA-AK-3429,TCGA-A3-3317
5,TCGA-AK-3436,TCGA-A3-3319
6,TCGA-AK-3440,TCGA-A3-3320
7,TCGA-AK-3443,TCGA-A3-3322
8,TCGA-AK-3444,TCGA-A3-3323
9,TCGA-AK-3451,TCGA-A3-3326
10,TCGA-AK-3453,TCGA-A3-3331
11,TCGA-AK-3455,TCGA-A3-3346
12,TCGA-AK-3456,TCGA-A3-3347
13,TCGA-AK-3458,TCGA-A3-3349
14,TCGA-AK-3465,TCGA-A3-3357
15,TCGA-AS-3777,TCGA-A3-3358
16,TCGA-AS-3778,TCGA-A3-3362
17,TCGA-B0-4698,TCGA-A3-3363
18,TCGA-B0-4700,TCGA-A3-3365
19,TCGA-B0-4706,TCGA-A3-3367
20,TCGA-B0-4710,TCGA-A3-3370
21,TCGA-B0-4712,TCGA-A3-3373
22,TCGA-B0-4810,TCGA-A3-3374
23,TCGA-B0-4811,TCGA-A3-3376
24,TCGA-B0-4815,TCGA-A3-3378
25,TCGA-B0-4816,TCGA-A3-3380
26,TCGA-B0-4818,TCGA-A3-3382
27,TCGA-B0-4821,TCGA-A3-3383
28,TCGA-B0-4823,TCGA-A3-3385
29,TCGA-B0-4827,TCGA-A3-3387
30,TCGA-B0-4842,TCGA-A3-A6NI
31,TCGA-B0-4852,TCGA-A3-A6NJ
32,TCGA-B0-4945,TCGA-A3-A6NL
33,TCGA-B0-5075,TCGA-A3-A6NN
34,TCGA-B0-5077,TCGA-A3-A8CQ
35,TCGA-B0-5080,TCGA-A3-A8OV
36,TCGA-B0-5081,TCGA-A3-A8OW
37,TCGA-B0-5084,TCGA-B2-3923
38,TCGA-B0-5085,TCGA-B2-4098
39,TCGA-B0-5088,TCGA-B2-4099
40,TCGA-B0-5092,TCGA-B2-4101
41,TCGA-B0-5094,TCGA-B2-4102
42,TCGA-B0-5095,TCGA-B2-5633
43,TCGA-B0-5096,TCGA-B2-5635
44,TCGA-B0-5098,TCGA-B2-5639
45,TCGA-B0-5099,TCGA-B2-5641
46,TCGA-B0-5100,TCGA-B2-A4SR
47,TCGA-B0-5102,TCGA-DV-5565
48,TCGA-B0-5104,TCGA-DV-5566
49,TCGA-B0-5106,TCGA-DV-5567
50,TCGA-B0-5107,TCGA-DV-5568
51,TCGA-B0-5108,TCGA-DV-A4VX
52,TCGA-B0-5109,TCGA-DV-A4VZ
53,TCGA-B0-5110,TCGA-DV-A4W0
54,TCGA-B0-5113,TCGA-G6-A5PC
55,TCGA-B0-5115,TCGA-G6-A8L6
56,TCGA-B0-5116,TCGA-G6-A8L7
57,TCGA-B0-5117,TCGA-G6-A8L8
58,TCGA-B0-5119,
